Market_Cap
383348416.4785848
593383171.98353
573400664.2076094
3343872524.902655
6646751936.932571
5928336936.134282
7513004387.045719
10514004774.15963
9484031011.576609
9288627411.055733
7963525499.222657
7289805654.937772
7186946325.361731
6444156066.411086
6607766053.119623
7750447457.349575
8245105472.816143
8076054823.608315
18149140510.25983
45312433767.0807
38476935315.40676
79082466879.5362
74721115579.60294
68138631295.41953
60517333167.75264
50361142065.55136
47366203552.34694
49134103661.88898
32424612198.65769
32475425766.93132
32094519515.31453
26202090193.75481
28346540682.63707
31956967081.36499
35502243939.68404
24460948308.7936
25011762612.9668
25702721292.95532
18928999017.77864
21959656902.569
